engine,qd,iops,lat_mean_ns
interrupt,1,65793.441312,9494.013300
interrupt,2,207297.140572,5093.449489
interrupt,4,224963.200000,13526.813954
interrupt,8,217506.698660,32383.187554
interrupt,16,222983.000000,67467.210246
interrupt,32,209817.836433,147916.117488
interrupt,64,215961.807638,291816.840826
poll,1,333883.200000,182.193226
poll,2,343586.800000,3091.389624
poll,4,364104.200000,8408.701366
poll,8,350281.400000,20163.515177
poll,16,366347.200000,41118.281714
poll,32,379495.400000,81845.262961
poll,64,369136.172765,170789.625588
