mode,bs,iters,min_ns,median_ns,mean_ns,p99_ns,p999_ns,iops,cpu_util,sched
posix,4096,200000,5908,8115,8287.2,11363,14832,120668,0.592,default
iou,4096,200000,6109,8750,8893.3,12643,21868,112444,0.629,default
iou_active,4096,200000,5173,5554,5605.2,7153,11332,178405,1.000,default
iou_poll,4096,200000,1562,1752,1779.8,2604,4890,561870,0.999,default
posix,16384,200000,6606,8700,9150.7,15415,35970,109281,0.614,default
iou,16384,200000,6947,9428,9696.0,14116,22552,103135,0.661,default
iou_active,16384,200000,5974,6316,6389.0,8463,15406,156520,1.000,default
iou_poll,16384,200000,2339,2581,2616.2,3823,8097,382235,1.000,default
posix,131072,200000,15321,17592,17872.9,24074,31642,55951,0.823,default
iou,131072,200000,24286,25968,26589.8,39453,47382,37608,0.413,default
iou_active,131072,200000,21478,23679,33535.2,76523,90816,29819,0.612,default
iou_poll,131072,200000,20370,22097,33528.4,36772,3046566,29825,0.643,default
