target,op,nfiles,us_per_op,ops_per_s
mfs_nocache,create,5000,145.907,6854
mfs_nocache,write,5000,66.572,15021
mfs_nocache,read,5000,27.522,36334
mfs_nocache,stat,5000,13.535,73882
mfs_cache,create,5000,1.343,744348
mfs_cache,write,5000,6.538,152949
mfs_cache,read,5000,0.725,1380193
mfs_cache,stat,5000,0.131,7613676
ext4,create,5000,35.506,28164
ext4,write,5000,5.511,181460
ext4,read,5000,2.113,473217
ext4,stat,5000,0.796,1256211
f2fs,create,5000,19.936,50161
f2fs,write,5000,3.813,262264
f2fs,read,5000,1.293,773338
f2fs,stat,5000,0.659,1518273
